"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin-webpage\CHANGELOG.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\dheen\Desktop\UFin\ufin-webpage\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 1629, 1, 352, 1982
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\cta-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\feature-icon-01.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\feature-icon-02.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\feature-icon-03.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\feature-icon-04.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\feature-icon-05.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\feature-icon-06.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\hero-back-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\hero-top-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\images\pricing-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\dist\js\main.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\index.html", "HTML", 184, 0, 0, 0, 0, 0, 0, 33, 9, 226
"c:\Users\dheen\Desktop\UFin\ufin-webpage\package-sample.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 6, 1, 55
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\cta-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\feature-icon-01.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\feature-icon-02.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\feature-icon-03.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\feature-icon-04.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\feature-icon-05.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\feature-icon-06.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\hero-back-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\hero-top-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\images\pricing-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\js\main.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 3, 7, 72
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\scss\_normalize.scss", "SCSS", 0, 0, 0, 0, 0, 189, 0, 0, 42, 231
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\scss\abstracts\_functions.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 28, 7, 56
"c:\Users\dheen\Desktop\UFin\ufin-webpage\src\scss\abstracts\_include-media.scss", "SCSS", 0, 0, 0, 0, 0, 174, 0, 323, 71, 568
