"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\BarChart example\app_resources.dart", "Dart", 0, 0, 0, 1, 1
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\BarChart example\bar_example.dart", "Dart", 0, 0, 604, 38, 642
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_barchart.dart", "Dart", 0, 175, 1, 12, 188
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\color_extension.dart", "Dart", 0, 23, 0, 3, 26
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\commit_builder.dart", "Dart", 0, 23, 2, 0, 25
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\planner_screen.dart", "Dart", 0, 2, 2, 0, 4
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\text_ingtits.dart", "Dart", 0, 27, 0, 4, 31
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\commitments_edit.dart", "Dart", 0, 18, -15, 7, 10
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\commitments_setting.dart", "Dart", 0, 8, 0, 0, 8
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\income\income_setting.dart", "Dart", 0, 12, 0, 0, 12
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\new_commitment.dart", "Dart", 0, 29, 0, 0, 29
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\income_info.dart", "Dart", 0, 2, 0, 2, 4
"c:\Users\dheen\Desktop\UFin\ufin\pubspec.yaml", "YAML", 1, 0, 0, 0, 1
"Total", "-", 1, 319, 594, 67, 981
