"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\plan_model.dart", "Dart", 15, 0, 0, 2, 17
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\home_tabs.dart", "Dart", 1, 0, 4, 0, 5
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\payment-screen\addbudget\add_expences.dart", "Dart", 14, 0, 0, -1, 13
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_bar_chart.dart", "Dart", 64, 0, 0, 4, 68
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_edit.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\commit_builder.dart", "Dart", 43, 0, 0, 5, 48
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\planner_header.dart", "Dart", 90, 0, 0, 11, 101
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\planner_screen.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\text-ingsit\text_ingites_data.dart", "Dart", 23, 0, 0, 3, 26
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\plan_function.dart", "Dart", 593, 0, 1, 45, 639
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\plan_list.dart", "Dart", 389, 0, 1, 10, 400
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\planner_diglogbox.dart", "Dart", 359, 0, 1, 17, 377
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\quick_plan_screen.dart", "Dart", 330, 0, 3, 36, 369
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\commitments_info.dart", "Dart", 9, 0, 0, 1, 10
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\new_commitment.dart", "Dart", 0, 0, -26, 0, -26
"c:\Users\dheen\Desktop\UFin\ufin\pubspec.yaml", "YAML", 0, 1, 0, 0, 1
"Total", "-", 1932, 1, -16, 133, 2050
